Preparation of Training Data time: 27.600 seconds
TRAINING: | Iteration [1/12] | Loss 0.59 | Norm 5.000
TRAINING: | Iteration [10/12] | Loss 0.17 | Norm 3.213
TRAINING: | Iteration [11/12] | Loss 0.10 | Norm 1.996
TRAINING: | Iteration [12/12] | Loss 0.10 | Norm 3.367
Epoch: 434/10000 | Epoch Time: 0.102 seconds
TRAINING: | Iteration [1/12] | Loss 0.07 | Norm 2.831
TRAINING: | Iteration [2/12] | Loss 0.08 | Norm 2.794
TRAINING: | Iteration [3/12] | Loss 0.08 | Norm 2.353
TRAINING: | Iteration [4/12] | Loss 0.06 | Norm 0.950
TRAINING: | Iteration [5/12] | Loss 0.07 | Norm 2.294
TRAINING: | Iteration [6/12] | Loss 0.11 | Norm 2.404
TRAINING: | Iteration [7/12] | Loss 0.08 | Norm 3.635
TRAINING: | Iteration [8/12] | Loss 0.12 | Norm 3.335
TRAINING: | Iteration [9/12] | Loss 0.10 | Norm 1.930
TRAINING: | Iteration [10/12] | Loss 0.06 | Norm 1.643
TRAINING: | Iteration [11/12] | Loss 0.10 | Norm 1.990
TRAINING: | Iteration [12/12] | Loss 0.11 | Norm 5.000
Epoch: 435/10000 | Epoch Time: 0.102 seconds
TRAINING: | Iteration [1/12] | Loss 0.14 | Norm 4.594
TRAINING: | Iteration [2/12] | Loss 0.08 | Norm 1.543
TRAINING: | Iteration [3/12] | Loss 0.09 | Norm 2.851
TRAINING: | Iteration [4/12] | Loss 0.06 | Norm 0.874
TRAINING: | Iteration [5/12] | Loss 0.08 | Norm 2.857
TRAINING: | Iteration [6/12] | Loss 0.07 | Norm 2.703
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 4.137
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 2.012
TRAINING: | Iteration [9/12] | Loss 0.07 | Norm 1.272
TRAINING: | Iteration [10/12] | Loss 0.05 | Norm 0.934
TRAINING: | Iteration [11/12] | Loss 0.07 | Norm 2.817
TRAINING: | Iteration [12/12] | Loss 0.22 | Norm 5.000
Epoch: 436/10000 | Epoch Time: 0.114 seconds
TRAINING: | Iteration [1/12] | Loss 0.07 | Norm 1.108
TRAINING: | Iteration [2/12] | Loss 0.09 | Norm 2.832
TRAINING: | Iteration [3/12] | Loss 0.08 | Norm 2.081
TRAINING: | Iteration [4/12] | Loss 0.06 | Norm 1.418
TRAINING: | Iteration [5/12] | Loss 0.08 | Norm 2.514
TRAINING: | Iteration [6/12] | Loss 0.11 | Norm 3.353
TRAINING: | Iteration [7/12] | Loss 0.12 | Norm 3.983
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 1.882
TRAINING: | Iteration [9/12] | Loss 0.07 | Norm 2.080
TRAINING: | Iteration [10/12] | Loss 0.05 | Norm 0.909
TRAINING: | Iteration [11/12] | Loss 0.08 | Norm 2.061
TRAINING: | Iteration [12/12] | Loss 0.15 | Norm 5.000
Epoch: 437/10000 | Epoch Time: 0.100 seconds
TRAINING: | Iteration [1/12] | Loss 0.09 | Norm 2.615
TRAINING: | Iteration [2/12] | Loss 0.14 | Norm 2.327
TRAINING: | Iteration [3/12] | Loss 0.09 | Norm 2.288
TRAINING: | Iteration [4/12] | Loss 0.12 | Norm 4.877
TRAINING: | Iteration [5/12] | Loss 0.05 | Norm 1.280
TRAINING: | Iteration [6/12] | Loss 0.07 | Norm 1.726
TRAINING: | Iteration [7/12] | Loss 0.12 | Norm 2.746
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 2.774
TRAINING: | Iteration [9/12] | Loss 0.16 | Norm 2.359
TRAINING: | Iteration [10/12] | Loss 0.09 | Norm 2.215
TRAINING: | Iteration [11/12] | Loss 0.08 | Norm 2.225
TRAINING: | Iteration [12/12] | Loss 0.09 | Norm 1.938
Epoch: 438/10000 | Epoch Time: 0.103 seconds
TRAINING: | Iteration [1/12] | Loss 0.07 | Norm 2.551
TRAINING: | Iteration [2/12] | Loss 0.08 | Norm 3.286
TRAINING: | Iteration [3/12] | Loss 0.13 | Norm 3.374
TRAINING: | Iteration [4/12] | Loss 0.07 | Norm 2.239
TRAINING: | Iteration [5/12] | Loss 0.06 | Norm 0.627
TRAINING: | Iteration [6/12] | Loss 0.05 | Norm 1.420
TRAINING: | Iteration [7/12] | Loss 0.08 | Norm 2.926
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 1.992
TRAINING: | Iteration [9/12] | Loss 0.06 | Norm 2.352
TRAINING: | Iteration [10/12] | Loss 0.07 | Norm 1.719
TRAINING: | Iteration [11/12] | Loss 0.12 | Norm 2.228
TRAINING: | Iteration [12/12] | Loss 0.09 | Norm 2.202
Epoch: 439/10000 | Epoch Time: 0.103 seconds
TRAINING: | Iteration [1/12] | Loss 0.07 | Norm 2.856
TRAINING: | Iteration [2/12] | Loss 0.09 | Norm 3.078
TRAINING: | Iteration [3/12] | Loss 0.07 | Norm 1.938
TRAINING: | Iteration [4/12] | Loss 0.09 | Norm 1.663
TRAINING: | Iteration [5/12] | Loss 0.08 | Norm 2.012
TRAINING: | Iteration [6/12] | Loss 0.06 | Norm 0.853
TRAINING: | Iteration [7/12] | Loss 0.06 | Norm 1.400
TRAINING: | Iteration [8/12] | Loss 0.11 | Norm 2.166
TRAINING: | Iteration [9/12] | Loss 0.06 | Norm 2.303
TRAINING: | Iteration [10/12] | Loss 0.08 | Norm 2.612
TRAINING: | Iteration [11/12] | Loss 0.06 | Norm 1.157
TRAINING: | Iteration [12/12] | Loss 0.13 | Norm 2.787
Epoch: 440/10000 | Epoch Time: 0.101 seconds
Saving Model
TRAINING: | Iteration [1/12] | Loss 0.11 | Norm 3.973
TRAINING: | Iteration [2/12] | Loss 0.04 | Norm 0.912
TRAINING: | Iteration [3/12] | Loss 0.07 | Norm 2.908
TRAINING: | Iteration [4/12] | Loss 0.05 | Norm 1.382
TRAINING: | Iteration [5/12] | Loss 0.07 | Norm 3.236
TRAINING: | Iteration [6/12] | Loss 0.08 | Norm 3.695
TRAINING: | Iteration [7/12] | Loss 0.06 | Norm 2.701
TRAINING: | Iteration [8/12] | Loss 0.09 | Norm 2.565
TRAINING: | Iteration [9/12] | Loss 0.06 | Norm 1.823
TRAINING: | Iteration [10/12] | Loss 0.11 | Norm 4.976
TRAINING: | Iteration [11/12] | Loss 0.08 | Norm 4.105
TRAINING: | Iteration [12/12] | Loss 0.05 | Norm 1.472
Epoch: 441/10000 | Epoch Time: 0.107 seconds
TRAINING: | Iteration [1/12] | Loss 0.06 | Norm 2.094
TRAINING: | Iteration [2/12] | Loss 0.10 | Norm 2.787
TRAINING: | Iteration [3/12] | Loss 0.08 | Norm 4.509
TRAINING: | Iteration [4/12] | Loss 0.06 | Norm 1.985
TRAINING: | Iteration [5/12] | Loss 0.09 | Norm 2.731
TRAINING: | Iteration [6/12] | Loss 0.05 | Norm 1.984
TRAINING: | Iteration [7/12] | Loss 0.10 | Norm 4.795
TRAINING: | Iteration [8/12] | Loss 0.05 | Norm 1.938
TRAINING: | Iteration [9/12] | Loss 0.07 | Norm 0.964
TRAINING: | Iteration [10/12] | Loss 0.11 | Norm 2.438
TRAINING: | Iteration [11/12] | Loss 0.09 | Norm 1.646
TRAINING: | Iteration [12/12] | Loss 0.06 | Norm 1.126
Epoch: 442/10000 | Epoch Time: 0.118 seconds
TRAINING: | Iteration [1/12] | Loss 0.06 | Norm 2.197
TRAINING: | Iteration [2/12] | Loss 0.08 | Norm 3.209
TRAINING: | Iteration [3/12] | Loss 0.07 | Norm 2.297
TRAINING: | Iteration [4/12] | Loss 0.07 | Norm 1.630
TRAINING: | Iteration [5/12] | Loss 0.12 | Norm 1.897
TRAINING: | Iteration [6/12] | Loss 0.06 | Norm 2.289
TRAINING: | Iteration [7/12] | Loss 0.10 | Norm 3.028
TRAINING: | Iteration [8/12] | Loss 0.08 | Norm 2.587
TRAINING: | Iteration [9/12] | Loss 0.07 | Norm 1.851
TRAINING: | Iteration [10/12] | Loss 0.05 | Norm 0.713
TRAINING: | Iteration [11/12] | Loss 0.06 | Norm 2.048
TRAINING: | Iteration [12/12] | Loss 0.06 | Norm 1.547
Epoch: 443/10000 | Epoch Time: 0.101 seconds
TRAINING: | Iteration [1/12] | Loss 0.09 | Norm 2.734
TRAINING: | Iteration [2/12] | Loss 0.06 | Norm 1.283
TRAINING: | Iteration [3/12] | Loss 0.08 | Norm 1.957
TRAINING: | Iteration [4/12] | Loss 0.12 | Norm 2.843
TRAINING: | Iteration [5/12] | Loss 0.06 | Norm 1.129
TRAINING: | Iteration [6/12] | Loss 0.05 | Norm 1.759
TRAINING: | Iteration [7/12] | Loss 0.11 | Norm 5.000
TRAINING: | Iteration [8/12] | Loss 0.08 | Norm 2.500
TRAINING: | Iteration [9/12] | Loss 0.06 | Norm 1.569
TRAINING: | Iteration [10/12] | Loss 0.12 | Norm 1.823
TRAINING: | Iteration [11/12] | Loss 0.05 | Norm 1.741
TRAINING: | Iteration [12/12] | Loss 0.07 | Norm 2.929
Epoch: 444/10000 | Epoch Time: 0.103 seconds
TRAINING: | Iteration [1/12] | Loss 0.10 | Norm 2.372
TRAINING: | Iteration [2/12] | Loss 0.07 | Norm 1.829
TRAINING: | Iteration [3/12] | Loss 0.06 | Norm 1.650
TRAINING: | Iteration [4/12] | Loss 0.09 | Norm 2.379
TRAINING: | Iteration [5/12] | Loss 0.15 | Norm 2.516
TRAINING: | Iteration [6/12] | Loss 0.07 | Norm 1.861
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 1.881
TRAINING: | Iteration [8/12] | Loss 0.05 | Norm 1.207
TRAINING: | Iteration [9/12] | Loss 0.05 | Norm 1.115
TRAINING: | Iteration [10/12] | Loss 0.08 | Norm 2.062
TRAINING: | Iteration [11/12] | Loss 0.05 | Norm 1.363
TRAINING: | Iteration [12/12] | Loss 0.04 | Norm 0.465
Epoch: 445/10000 | Epoch Time: 0.102 seconds
TRAINING: | Iteration [1/12] | Loss 0.05 | Norm 1.635
TRAINING: | Iteration [2/12] | Loss 0.07 | Norm 1.697
TRAINING: | Iteration [3/12] | Loss 0.05 | Norm 0.847
TRAINING: | Iteration [4/12] | Loss 0.09 | Norm 2.309
TRAINING: | Iteration [5/12] | Loss 0.06 | Norm 2.184
TRAINING: | Iteration [6/12] | Loss 0.05 | Norm 1.435
TRAINING: | Iteration [7/12] | Loss 0.06 | Norm 1.280
TRAINING: | Iteration [8/12] | Loss 0.09 | Norm 2.474
TRAINING: | Iteration [9/12] | Loss 0.12 | Norm 2.285
TRAINING: | Iteration [10/12] | Loss 0.13 | Norm 2.581
TRAINING: | Iteration [11/12] | Loss 0.06 | Norm 1.106
TRAINING: | Iteration [12/12] | Loss 0.06 | Norm 1.586
Epoch: 446/10000 | Epoch Time: 0.100 seconds
TRAINING: | Iteration [1/12] | Loss 0.06 | Norm 1.014
TRAINING: | Iteration [2/12] | Loss 0.16 | Norm 3.249
TRAINING: | Iteration [3/12] | Loss 0.11 | Norm 3.241
TRAINING: | Iteration [4/12] | Loss 0.04 | Norm 1.846
TRAINING: | Iteration [5/12] | Loss 0.06 | Norm 1.891
TRAINING: | Iteration [6/12] | Loss 0.04 | Norm 1.109
TRAINING: | Iteration [7/12] | Loss 0.08 | Norm 1.770
TRAINING: | Iteration [8/12] | Loss 0.06 | Norm 1.464
TRAINING: | Iteration [9/12] | Loss 0.09 | Norm 1.759
TRAINING: | Iteration [10/12] | Loss 0.06 | Norm 2.636
TRAINING: | Iteration [11/12] | Loss 0.06 | Norm 1.419
TRAINING: | Iteration [12/12] | Loss 0.07 | Norm 1.742
Epoch: 447/10000 | Epoch Time: 0.117 seconds
TRAINING: | Iteration [1/12] | Loss 0.07 | Norm 1.679
TRAINING: | Iteration [2/12] | Loss 0.05 | Norm 1.264
TRAINING: | Iteration [3/12] | Loss 0.10 | Norm 2.555
TRAINING: | Iteration [4/12] | Loss 0.06 | Norm 0.921
TRAINING: | Iteration [5/12] | Loss 0.07 | Norm 2.194
TRAINING: | Iteration [6/12] | Loss 0.05 | Norm 1.511
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 2.542
TRAINING: | Iteration [8/12] | Loss 0.06 | Norm 2.163
TRAINING: | Iteration [9/12] | Loss 0.09 | Norm 3.526
TRAINING: | Iteration [10/12] | Loss 0.09 | Norm 1.652
TRAINING: | Iteration [11/12] | Loss 0.16 | Norm 3.217
TRAINING: | Iteration [12/12] | Loss 0.10 | Norm 2.465
Epoch: 448/10000 | Epoch Time: 0.118 seconds
TRAINING: | Iteration [1/12] | Loss 0.07 | Norm 3.267
TRAINING: | Iteration [2/12] | Loss 0.06 | Norm 1.902
TRAINING: | Iteration [3/12] | Loss 0.07 | Norm 1.494
TRAINING: | Iteration [4/12] | Loss 0.11 | Norm 2.135
TRAINING: | Iteration [5/12] | Loss 0.08 | Norm 3.021
TRAINING: | Iteration [6/12] | Loss 0.10 | Norm 3.401
TRAINING: | Iteration [7/12] | Loss 0.07 | Norm 1.135
TRAINING: | Iteration [8/12] | Loss 0.05 | Norm 1.471
TRAINING: | Iteration [9/12] | Loss 0.06 | Norm 1.425
TRAINING: | Iteration [10/12] | Loss 0.06 | Norm 2.200
TRAINING: | Iteration [11/12] | Loss 0.11 | Norm 3.406
TRAINING: | Iteration [12/12] | Loss 0.08 | Norm 3.545
Epoch: 449/10000 | Epoch Time: 0.104 seconds
TRAINING: | Iteration [1/12] | Loss 0.09 | Norm 2.966
TRAINING: | Iteration [2/12] | Loss 0.06 | Norm 2.308
TRAINING: | Iteration [3/12] | Loss 0.07 | Norm 2.386
TRAINING: | Iteration [4/12] | Loss 0.11 | Norm 2.391
TRAINING: | Iteration [5/12] | Loss 0.07 | Norm 1.320
TRAINING: | Iteration [6/12] | Loss 0.06 | Norm 2.213
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 2.545
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 1.591
TRAINING: | Iteration [9/12] | Loss 0.06 | Norm 1.693
TRAINING: | Iteration [10/12] | Loss 0.07 | Norm 3.502
TRAINING: | Iteration [11/12] | Loss 0.06 | Norm 2.668
TRAINING: | Iteration [12/12] | Loss 0.12 | Norm 2.574
Epoch: 450/10000 | Epoch Time: 0.102 seconds
Saving Model
TRAINING: | Iteration [1/12] | Loss 0.06 | Norm 1.144
TRAINING: | Iteration [2/12] | Loss 0.06 | Norm 1.383
TRAINING: | Iteration [3/12] | Loss 0.07 | Norm 3.328
TRAINING: | Iteration [4/12] | Loss 0.07 | Norm 2.443
TRAINING: | Iteration [5/12] | Loss 0.05 | Norm 1.570
TRAINING: | Iteration [6/12] | Loss 0.08 | Norm 1.327
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 1.798
TRAINING: | Iteration [8/12] | Loss 0.05 | Norm 1.405
TRAINING: | Iteration [9/12] | Loss 0.07 | Norm 2.033
TRAINING: | Iteration [10/12] | Loss 0.05 | Norm 1.236
TRAINING: | Iteration [11/12] | Loss 0.11 | Norm 2.774
TRAINING: | Iteration [12/12] | Loss 0.08 | Norm 2.824
Epoch: 451/10000 | Epoch Time: 0.106 seconds
TRAINING: | Iteration [1/12] | Loss 0.05 | Norm 1.597
TRAINING: | Iteration [2/12] | Loss 0.07 | Norm 1.858
TRAINING: | Iteration [3/12] | Loss 0.05 | Norm 1.280
TRAINING: | Iteration [4/12] | Loss 0.06 | Norm 1.254
TRAINING: | Iteration [5/12] | Loss 0.06 | Norm 1.465
TRAINING: | Iteration [6/12] | Loss 0.06 | Norm 1.822
TRAINING: | Iteration [7/12] | Loss 0.06 | Norm 1.626
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 1.366
TRAINING: | Iteration [9/12] | Loss 0.07 | Norm 2.443
TRAINING: | Iteration [10/12] | Loss 0.09 | Norm 1.888
TRAINING: | Iteration [11/12] | Loss 0.06 | Norm 0.954
TRAINING: | Iteration [12/12] | Loss 0.08 | Norm 2.660
Epoch: 452/10000 | Epoch Time: 0.104 seconds
TRAINING: | Iteration [1/12] | Loss 0.05 | Norm 2.122
TRAINING: | Iteration [2/12] | Loss 0.06 | Norm 1.328
TRAINING: | Iteration [3/12] | Loss 0.07 | Norm 2.470
TRAINING: | Iteration [4/12] | Loss 0.05 | Norm 1.641
TRAINING: | Iteration [5/12] | Loss 0.06 | Norm 2.427
TRAINING: | Iteration [6/12] | Loss 0.10 | Norm 1.856
TRAINING: | Iteration [7/12] | Loss 0.08 | Norm 2.459
TRAINING: | Iteration [8/12] | Loss 0.14 | Norm 3.234
TRAINING: | Iteration [9/12] | Loss 0.08 | Norm 1.626
TRAINING: | Iteration [10/12] | Loss 0.09 | Norm 1.923
TRAINING: | Iteration [11/12] | Loss 0.06 | Norm 1.644
TRAINING: | Iteration [12/12] | Loss 0.11 | Norm 2.418
Epoch: 453/10000 | Epoch Time: 0.102 seconds
TRAINING: | Iteration [1/12] | Loss 0.06 | Norm 1.693
TRAINING: | Iteration [2/12] | Loss 0.12 | Norm 2.961
TRAINING: | Iteration [3/12] | Loss 0.16 | Norm 2.558
TRAINING: | Iteration [4/12] | Loss 0.06 | Norm 3.746
TRAINING: | Iteration [5/12] | Loss 0.06 | Norm 2.591
TRAINING: | Iteration [6/12] | Loss 0.09 | Norm 1.480
TRAINING: | Iteration [7/12] | Loss 0.08 | Norm 1.330
TRAINING: | Iteration [8/12] | Loss 0.09 | Norm 2.471
TRAINING: | Iteration [9/12] | Loss 0.06 | Norm 1.171
TRAINING: | Iteration [10/12] | Loss 0.06 | Norm 1.130
TRAINING: | Iteration [11/12] | Loss 0.06 | Norm 1.681
TRAINING: | Iteration [12/12] | Loss 0.05 | Norm 1.321
Epoch: 454/10000 | Epoch Time: 0.101 seconds
TRAINING: | Iteration [1/12] | Loss 0.10 | Norm 3.103
TRAINING: | Iteration [2/12] | Loss 0.07 | Norm 1.973
TRAINING: | Iteration [3/12] | Loss 0.05 | Norm 0.593
TRAINING: | Iteration [4/12] | Loss 0.07 | Norm 2.228
TRAINING: | Iteration [5/12] | Loss 0.09 | Norm 1.781
TRAINING: | Iteration [6/12] | Loss 0.05 | Norm 1.233
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 1.716
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 1.707
TRAINING: | Iteration [9/12] | Loss 0.04 | Norm 1.182
TRAINING: | Iteration [10/12] | Loss 0.06 | Norm 1.696
TRAINING: | Iteration [11/12] | Loss 0.18 | Norm 2.929
TRAINING: | Iteration [12/12] | Loss 0.07 | Norm 1.253
Epoch: 455/10000 | Epoch Time: 0.101 seconds
TRAINING: | Iteration [1/12] | Loss 0.06 | Norm 1.622
TRAINING: | Iteration [2/12] | Loss 0.09 | Norm 2.260
TRAINING: | Iteration [3/12] | Loss 0.07 | Norm 1.167
TRAINING: | Iteration [4/12] | Loss 0.08 | Norm 3.675
TRAINING: | Iteration [5/12] | Loss 0.05 | Norm 1.623
TRAINING: | Iteration [6/12] | Loss 0.07 | Norm 1.871
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 2.752
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 3.902
TRAINING: | Iteration [9/12] | Loss 0.07 | Norm 1.208
TRAINING: | Iteration [10/12] | Loss 0.08 | Norm 1.828
TRAINING: | Iteration [11/12] | Loss 0.07 | Norm 1.870
TRAINING: | Iteration [12/12] | Loss 0.07 | Norm 2.092
Epoch: 456/10000 | Epoch Time: 0.101 seconds
TRAINING: | Iteration [1/12] | Loss 0.06 | Norm 1.770
TRAINING: | Iteration [2/12] | Loss 0.06 | Norm 1.566
TRAINING: | Iteration [3/12] | Loss 0.05 | Norm 1.415
TRAINING: | Iteration [4/12] | Loss 0.06 | Norm 1.046
TRAINING: | Iteration [5/12] | Loss 0.09 | Norm 1.853
TRAINING: | Iteration [6/12] | Loss 0.05 | Norm 1.365
TRAINING: | Iteration [7/12] | Loss 0.10 | Norm 3.871
TRAINING: | Iteration [8/12] | Loss 0.06 | Norm 2.090
TRAINING: | Iteration [9/12] | Loss 0.10 | Norm 4.441
TRAINING: | Iteration [10/12] | Loss 0.06 | Norm 1.194
TRAINING: | Iteration [11/12] | Loss 0.06 | Norm 1.496
TRAINING: | Iteration [12/12] | Loss 0.07 | Norm 1.669
Epoch: 457/10000 | Epoch Time: 0.116 seconds
TRAINING: | Iteration [1/12] | Loss 0.04 | Norm 0.494
TRAINING: | Iteration [2/12] | Loss 0.06 | Norm 0.920
TRAINING: | Iteration [3/12] | Loss 0.11 | Norm 1.796
TRAINING: | Iteration [4/12] | Loss 0.07 | Norm 1.912
TRAINING: | Iteration [5/12] | Loss 0.08 | Norm 2.954
TRAINING: | Iteration [6/12] | Loss 0.07 | Norm 3.178
TRAINING: | Iteration [7/12] | Loss 0.07 | Norm 1.613
TRAINING: | Iteration [8/12] | Loss 0.13 | Norm 2.674
TRAINING: | Iteration [9/12] | Loss 0.05 | Norm 1.598
TRAINING: | Iteration [10/12] | Loss 0.06 | Norm 2.040
TRAINING: | Iteration [11/12] | Loss 0.08 | Norm 3.893
TRAINING: | Iteration [12/12] | Loss 0.05 | Norm 1.213
Epoch: 458/10000 | Epoch Time: 0.102 seconds
TRAINING: | Iteration [1/12] | Loss 0.07 | Norm 1.647
TRAINING: | Iteration [2/12] | Loss 0.10 | Norm 2.250
TRAINING: | Iteration [3/12] | Loss 0.05 | Norm 0.922
TRAINING: | Iteration [4/12] | Loss 0.07 | Norm 2.260
TRAINING: | Iteration [5/12] | Loss 0.11 | Norm 2.699
TRAINING: | Iteration [6/12] | Loss 0.05 | Norm 1.783
TRAINING: | Iteration [7/12] | Loss 0.08 | Norm 1.917
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 1.592
TRAINING: | Iteration [9/12] | Loss 0.06 | Norm 2.175
TRAINING: | Iteration [10/12] | Loss 0.08 | Norm 2.152
TRAINING: | Iteration [11/12] | Loss 0.05 | Norm 1.065
TRAINING: | Iteration [12/12] | Loss 0.06 | Norm 1.682
Epoch: 459/10000 | Epoch Time: 0.101 seconds
TRAINING: | Iteration [1/12] | Loss 0.08 | Norm 2.131
TRAINING: | Iteration [2/12] | Loss 0.05 | Norm 1.750
TRAINING: | Iteration [3/12] | Loss 0.07 | Norm 2.717
TRAINING: | Iteration [4/12] | Loss 0.08 | Norm 1.979
TRAINING: | Iteration [5/12] | Loss 0.06 | Norm 1.570
TRAINING: | Iteration [6/12] | Loss 0.06 | Norm 1.273
TRAINING: | Iteration [7/12] | Loss 0.06 | Norm 1.564
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 2.224
TRAINING: | Iteration [9/12] | Loss 0.06 | Norm 0.802
TRAINING: | Iteration [10/12] | Loss 0.05 | Norm 1.204
TRAINING: | Iteration [11/12] | Loss 0.08 | Norm 2.403
TRAINING: | Iteration [12/12] | Loss 0.05 | Norm 0.708
Epoch: 460/10000 | Epoch Time: 0.100 seconds
Saving Model
TRAINING: | Iteration [1/12] | Loss 0.09 | Norm 2.098
TRAINING: | Iteration [2/12] | Loss 0.06 | Norm 1.105
TRAINING: | Iteration [3/12] | Loss 0.05 | Norm 1.768
TRAINING: | Iteration [4/12] | Loss 0.04 | Norm 1.066
TRAINING: | Iteration [5/12] | Loss 0.05 | Norm 1.332
TRAINING: | Iteration [6/12] | Loss 0.06 | Norm 1.851
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 1.652
TRAINING: | Iteration [8/12] | Loss 0.06 | Norm 1.688
TRAINING: | Iteration [9/12] | Loss 0.04 | Norm 0.768
TRAINING: | Iteration [10/12] | Loss 0.06 | Norm 1.908
TRAINING: | Iteration [11/12] | Loss 0.05 | Norm 0.818
TRAINING: | Iteration [12/12] | Loss 0.10 | Norm 2.257
Epoch: 461/10000 | Epoch Time: 0.103 seconds
TRAINING: | Iteration [1/12] | Loss 0.07 | Norm 1.580
TRAINING: | Iteration [2/12] | Loss 0.08 | Norm 2.522
TRAINING: | Iteration [3/12] | Loss 0.07 | Norm 2.293
TRAINING: | Iteration [4/12] | Loss 0.07 | Norm 2.412
TRAINING: | Iteration [5/12] | Loss 0.10 | Norm 2.363
TRAINING: | Iteration [6/12] | Loss 0.06 | Norm 0.961
TRAINING: | Iteration [7/12] | Loss 0.07 | Norm 1.267
TRAINING: | Iteration [8/12] | Loss 0.06 | Norm 0.845
TRAINING: | Iteration [9/12] | Loss 0.09 | Norm 2.584
TRAINING: | Iteration [10/12] | Loss 0.09 | Norm 2.393
TRAINING: | Iteration [11/12] | Loss 0.07 | Norm 1.758
TRAINING: | Iteration [12/12] | Loss 0.07 | Norm 1.420
Epoch: 462/10000 | Epoch Time: 0.101 seconds
TRAINING: | Iteration [1/12] | Loss 0.09 | Norm 1.735
TRAINING: | Iteration [2/12] | Loss 0.05 | Norm 1.162
TRAINING: | Iteration [3/12] | Loss 0.05 | Norm 1.198
TRAINING: | Iteration [4/12] | Loss 0.08 | Norm 2.844
TRAINING: | Iteration [5/12] | Loss 0.06 | Norm 1.431
TRAINING: | Iteration [6/12] | Loss 0.07 | Norm 1.302
TRAINING: | Iteration [7/12] | Loss 0.06 | Norm 1.294
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 2.194
TRAINING: | Iteration [9/12] | Loss 0.17 | Norm 5.000
TRAINING: | Iteration [10/12] | Loss 0.05 | Norm 0.723
TRAINING: | Iteration [11/12] | Loss 0.16 | Norm 4.410
TRAINING: | Iteration [12/12] | Loss 0.07 | Norm 1.261
Epoch: 463/10000 | Epoch Time: 0.101 seconds
TRAINING: | Iteration [1/12] | Loss 0.08 | Norm 1.172
TRAINING: | Iteration [2/12] | Loss 0.08 | Norm 1.215
TRAINING: | Iteration [3/12] | Loss 0.04 | Norm 1.231
TRAINING: | Iteration [4/12] | Loss 0.08 | Norm 2.171
TRAINING: | Iteration [5/12] | Loss 0.07 | Norm 1.880
TRAINING: | Iteration [6/12] | Loss 0.06 | Norm 1.433
TRAINING: | Iteration [7/12] | Loss 0.06 | Norm 2.169
TRAINING: | Iteration [8/12] | Loss 0.07 | Norm 1.605
TRAINING: | Iteration [9/12] | Loss 0.05 | Norm 1.369
TRAINING: | Iteration [10/12] | Loss 0.08 | Norm 2.766
TRAINING: | Iteration [11/12] | Loss 0.06 | Norm 1.360
TRAINING: | Iteration [12/12] | Loss 0.08 | Norm 1.471
Epoch: 464/10000 | Epoch Time: 0.100 seconds
TRAINING: | Iteration [1/12] | Loss 0.09 | Norm 2.836
TRAINING: | Iteration [2/12] | Loss 0.06 | Norm 1.253
TRAINING: | Iteration [3/12] | Loss 0.06 | Norm 1.737
TRAINING: | Iteration [4/12] | Loss 0.07 | Norm 2.257
TRAINING: | Iteration [5/12] | Loss 0.07 | Norm 1.263
TRAINING: | Iteration [6/12] | Loss 0.09 | Norm 2.440
TRAINING: | Iteration [7/12] | Loss 0.07 | Norm 2.013
TRAINING: | Iteration [8/12] | Loss 0.08 | Norm 2.114
TRAINING: | Iteration [9/12] | Loss 0.04 | Norm 1.693
TRAINING: | Iteration [10/12] | Loss 0.07 | Norm 2.081
TRAINING: | Iteration [11/12] | Loss 0.08 | Norm 1.654
TRAINING: | Iteration [12/12] | Loss 0.13 | Norm 2.615
Epoch: 465/10000 | Epoch Time: 0.101 seconds
TRAINING: | Iteration [1/12] | Loss 0.06 | Norm 1.333
TRAINING: | Iteration [2/12] | Loss 0.13 | Norm 3.137
TRAINING: | Iteration [3/12] | Loss 0.05 | Norm 1.088
TRAINING: | Iteration [4/12] | Loss 0.12 | Norm 2.213
TRAINING: | Iteration [5/12] | Loss 0.11 | Norm 2.063
TRAINING: | Iteration [6/12] | Loss 0.07 | Norm 1.685
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 2.758
TRAINING: | Iteration [8/12] | Loss 0.10 | Norm 2.902
